"onmult","","onmultline",""
"c++","java","c++","java"
0.198,0.207,0.093,
0.194,0.22,0.092,
0.193,0.222,0.092,
0.194,0.212,0.092,
0.191,0.214,0.092,
0.200,0.238,0.092,
0.197,0.237,0.094,
0.196,0.238,0.113,
0.196,0.237,0.109,
0.195,0.235,0.110,
0.198,0.234,0.109,
0.196,0.243,0.107,
0.195,0.259,0.110,
0.195,0.234,0.110,
0.194,0.235,0.109,
0.198,0.239,0.110,
0.196,0.238,0.106,
0.193,0.238,0.095,
0.193,0.252,0.093,
0.192,0.258,0.093,
0.193,0.265,0.092,
0.194,0.265,0.092,
0.194,0.235,0.092,
0.196,0.236,0.093,
0.197,0.239,0.097,
0.192,0.235,0.096,
0.194,0.304,0.094,
0.194,0.270,0.092,
0.196,0.255,0.093,
0.197,0.272,0.092,
1.211,1.294,0.455,
1.247,1.295,0.468,
1.265,1.454,0.606,
1.265,1.749,0.519,
1.25,1.665,0.459,
1.256,1.613,0.457,
1.272,1.591,0.453,
1.252,1.62,0.456,
1.245,1.638,0.465,
1.248,1.677,0.458,
1.243,1.573,0.449,
1.251,1.609,0.479,
1.248,1.681,0.450,
1.247,1.633,0.448,
1.25,1.55,0.471,
1.242,1.654,0.521,
1.241,1.649,0.624,
1.259,1.617,0.466,
1.247,1.583,0.452,
1.24,1.626,0.451,
1.257,1.639,0.449,
1.243,1.644,0.473,
1.257,1.664,0.447,
1.273,2.161,0.446,
1.267,2.232,0.445,
1.258,2.402,0.455,
1.259,2.169,0.453,
1.256,1.898,0.514,
1.264,1.774,0.467,
1.26,1.823,0.445,
3.493,4.953,1.697,
3.589,4.493,1.674,
4.255,5.942,1.774,
3.851,5.655,1.501,
3.826,6.106,1.547,
3.816,5.28,1.493,
3.893,5.524,1.502,
3.769,5.28,1.515,
3.944,5.502,1.494,
3.792,5.262,1.501,
3.94,5.476,1.509,
3.802,5.28,1.499,
3.913,5.514,1.491,
3.803,5.258,1.491,
3.791,5.486,1.500,
3.86,5.262,1.494,
3.772,5.491,1.489,
3.849,5.26,1.510,
3.793,5.478,1.489,
3.794,5.263,1.496,
3.753,5.471,1.511,
3.865,5.253,1.490,
3.767,5.474,1.495,
3.803,5.315,1.494,
4.207,5.334,1.532,
3.791,5.134,1.493,
3.849,5.322,1.491,
3.842,5.13,1.740,
3.785,5.329,1.513,
3.762,5.138,1.527,
18.942,19.013,3.611,
18.627,18.602,3.734,
18.214,18.582,3.343,
18.37,18.815,3.286,
18.296,18.815,3.275,
18.442,18.801,3.302,
18.176,18.796,3.289,
18.251,18.804,3.275,
18.289,19.343,3.292,
18.593,19.349,3.294,
18.368,19.343,3.275,
18.407,19.418,3.302,
18.259,19.438,3.289,
18.259,19.414,3.284,
18.25,19.403,3.495,
18.254,19.421,3.310,
18.212,19.395,3.278,
18.362,19.404,3.315,
18.33,19.364,3.300,
18.355,19.292,3.291,
18.375,19.26,3.305,
18.237,19.588,3.305,
18.359,20.028,3.279,
18.182,20.122,3.297,
18.363,19.837,3.295,
18.289,19.629,3.278,
18.988,20.283,3.299,
18.236,20.966,3.303,
18.359,20.23,3.293,
18.206,20.077,3.297,
39.745,41.46,6.211,
39.844,41.54,6.175,
39.656,41.288,6.137,
39.9,41.654,6.130,
39.839,41.953,6.174,
39.911,42.214,6.292,
40.401,42.769,6.393,
40.235,42.431,6.110,
40.195,42.007,6.087,
40.223,42.634,6.111,
39.738,41.981,6.141,
39.519,42.164,6.131,
39.94,42.338,6.098,
40.05,41.889,6.105,
39.858,41.6,6.127,
39.335,41.748,6.101,
39.895,41.856,6.116,
38.978,41.733,6.088,
38.942,42.199,6.116,
38.953,42.032,6.108,
38.765,41.915,6.125,
39.189,42.299,6.129,
38.794,41.576,6.104,
38.675,41.845,6.125,
39.31,42.17,6.112,
40.336,41.918,6.105,
39.58,41.723,6.091,
40.752,42.035,6.117,
39.703,41.71,6.106,
39.991,41.548,6.101,
71.965,75.266,10.315,
69.918,75.291,11.212,
"69,00000",75.548,11.241,
69.506,75.493,10.228,
69.038,75.437,10.244,
69.636,75.335,12.330,
69.088,75.35,11.440,
69.141,75.405,11.355,
69.022,75.126,10.280,
69.611,75.208,10.229,
69.846,75.361,10.211,
69.39,75.488,10.221,
69.679,75.46,10.226,
69.481,75.463,10.215,
72.109,75.573,10.253,
71.789,75.281,10.213,
70.154,75.398,10.212,
70.674,75.162,10.255,
69.849,75.387,10.215,
71.574,75.319,10.211,
71.192,75.394,10.372,
71.019,75.423,10.888,
70.189,75.172,11.090,
70.333,75.286,11.342,
69.16,75.305,11.189,
69.462,75.414,11.645,
69.565,75.344,10.788,
69.148,75.284,10.379,
69.25,75.358,10.364,
69.429,75.57,10.349,
116.311,118.324,15.701,
116.487,120.096,15.671,
115.06,116.215,15.691,
114.766,120.525,15.726,
115.38,120.011,16.748,
114.997,117.983,16.521,
115.213,119.22,16.867,
116.749,118.75,15.741,
117.331,117.004,15.707,
116.892,120.159,15.697,
116.205,117.972,15.713,
116.524,119.752,15.728,
115.972,120.037,15.685,
114.998,115.943,15.643,
115.213,120.258,15.761,
115.678,119.995,15.695,
115.423,118.441,15.704,
116.05,120.367,15.657,
116.892,120.142,15.730,
116.419,118.676,15.680,
115.811,118.904,15.683,
114.959,116.404,15.656,
115.662,119.077,15.709,
115.175,120.724,15.701,
116.098,116.18,15.680,
116.713,118.099,15.669,
116.002,120.638,15.751,
115.35,115.785,15.790,
115.762,120.306,15.718,
116.188,115.958,15.662,
